symbol,company_name,sector,industry,market_cap_category,exchange,beta,average_volume_90_days,has_dividend,ipo_year
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,Large,NMS,1.475,2368357.0,Yes,
BIIB,Biogen,Health Care,Biotechnology,Large,NMS,0.145,1297181.0,No,
BLK,BlackRock,Financials,Asset Management & Custody Banks,Large,NYQ,1.487,834098.0,Yes,
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,Large,NYQ,1.794,7845811.0,Yes,
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,Large,NYQ,2.675,8488444.0,No,
BK,BNY Mellon,Financials,Asset Management & Custody Banks,Large,NYQ,1.076,3648786.0,Yes,
BA,Boeing,Industrials,Aerospace & Defense,Large,NYQ,1.096,7423774.0,No,
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Large,NMS,1.227,390672.0,Yes,
BSX,Boston Scientific,Health Care,Health Care Equipment,Large,NYQ,0.7,14568910.0,No,
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,Large,NYQ,0.266,13487738.0,Yes,
AVGO,Broadcom,Information Technology,Semiconductors,Large,NMS,1.257,26234215.0,Yes,
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,Large,NYQ,0.977,1302550.0,Yes,
BRO,Brown & Brown,Financials,Insurance Brokers,Large,NYQ,0.798,3226150.0,Yes,
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,Large,NYQ,0.396,5508852.0,Yes,
BLDR,Builders FirstSource,Industrials,Building Products,Large,NYQ,1.564,2300840.0,No,
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,Large,NYQ,0.743,1778352.0,Yes,
BXP,"BXP, Inc.",Real Estate,Office REITs,Large,NYQ,1.032,2570198.0,Yes,
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,Large,NMS,0.903,2264818.0,Yes,
CDNS,Cadence Design Systems,Information Technology,Application Software,Large,NMS,1.025,2415640.0,No,
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,Large,NYQ,0.821,1184727.0,Yes,
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,Large,NMS,-0.064,7963061.0,Yes,
COF,Capital One,Financials,Consumer Finance,Large,NYQ,1.139,5559944.0,Yes,
CAH,Cardinal Health,Health Care,Health Care Distributors,Large,NYQ,0.616,1721205.0,Yes,
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Large,NYQ,2.459,22413800.0,Yes,
CARR,Carrier Global,Industrials,Building Products,Large,NYQ,1.289,7226837.0,Yes,
CVNA,Carvana,Consumer Discretionary,Automotive Retail,Large,NYQ,3.673,3789761.0,No,
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,Large,NYQ,1.531,2803688.0,Yes,
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,Large,BTS,0.336,870357.0,Yes,
CBRE,CBRE Group,Real Estate,Real Estate Services,Large,NYQ,1.341,2179964.0,No,
CDW,CDW Corporation,Information Technology,Technology Distributors,Large,NMS,1.046,1693457.0,Yes,
COR,Cencora,Health Care,Health Care Distributors,Large,NYQ,0.646,1230994.0,Yes,
CNC,Centene Corporation,Health Care,Managed Health Care,Large,NYQ,0.459,6382976.0,No,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,Large,NYQ,0.539,5434691.0,Yes,
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,Large,NYQ,0.689,3758264.0,Yes,
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,Large,NYQ,1.652,937032.0,No,
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,Large,NYQ,0.919,10409918.0,Yes,
CHTR,Charter Communications,Communication Services,Cable & Satellite,Large,NMS,1.023,1895261.0,No,
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,Large,NYQ,0.658,12332432.0,Yes,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,Large,NYQ,1.019,17038950.0,No,
CB,Chubb Limited,Financials,Property & Casualty Insurance,Large,NYQ,0.489,1720437.0,Yes,
CHD,Church & Dwight,Consumer Staples,Household Products,Large,NYQ,0.426,2334266.0,Yes,
CIEN,Ciena,Information Technology,Communications Equipment,Large,NYQ,1.09,3310193.0,No,
CI,Cigna,Health Care,Health Care Services,Large,NYQ,0.234,1698554.0,Yes,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,Large,NMS,0.636,768922.0,Yes,
CTAS,Cintas,Industrials,Diversified Support Services,Large,NMS,0.944,1941923.0,Yes,
CSCO,Cisco,Information Technology,Communications Equipment,Large,NMS,0.829,23332288.0,Yes,
C,Citigroup,Financials,Diversified Banks,Large,NYQ,1.131,14790864.0,Yes,
CFG,Citizens Financial Group,Financials,Regional Banks,Large,NYQ,1.085,5260711.0,Yes,
CLX,Clorox,Consumer Staples,Household Products,Large,NYQ,0.568,2208706.0,Yes,
CME,CME Group,Financials,Financial Exchanges & Data,Large,NMS,0.26,2199293.0,Yes,
CMS,CMS Energy,Utilities,Multi-Utilities,Large,NYQ,0.432,3007874.0,Yes,
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Large,NYQ,0.332,17924930.0,Yes,
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,Large,NMS,0.983,6551718.0,Yes,
COIN,Coinbase,Financials,Financial Exchanges & Data,Large,NMS,3.709,11954737.0,No,
CL,Colgate-Palmolive,Consumer Staples,Household Products,Large,NYQ,0.264,6795269.0,Yes,
CMCSA,Comcast,Communication Services,Cable & Satellite,Large,NMS,0.78,34645172.0,Yes,
