symbol,company_name,sector,industry,market_cap_category,exchange,beta,average_volume_90_days,has_dividend,ipo_year
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,Large,NYQ,0.648,13909866.0,Yes,
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,Large,NYQ,2.013,7323337.0,Yes,
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,Large,NMS,1.448,1097293.0,Yes,
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,Large,NMS,0.01,16380084.0,Yes,
KR,Kroger,Consumer Staples,Food Retail,Large,NYQ,0.59,6934018.0,Yes,
LHX,L3Harris,Industrials,Aerospace & Defense,Large,NYQ,0.606,1484954.0,Yes,
LH,Labcorp,Health Care,Health Care Services,Large,NYQ,0.974,687166.0,Yes,
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,Large,NMS,1.787,11630640.0,Yes,
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,Large,NYQ,0.428,3248467.0,Yes,
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,Large,NYQ,0.888,5419925.0,Yes,
LDOS,Leidos,Industrials,Diversified Support Services,Large,NYQ,0.617,1109266.0,Yes,
LEN,Lennar,Consumer Discretionary,Homebuilding,Large,NYQ,1.403,2993435.0,Yes,
LII,Lennox International,Industrials,Building Products,Large,NYQ,1.142,456377.0,Yes,
LLY,Lilly (Eli),Health Care,Pharmaceuticals,Large,NYQ,0.434,3071144.0,Yes,
LIN,Linde plc,Materials,Industrial Gases,Large,NMS,0.797,2634823.0,Yes,
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,Large,NYQ,1.145,2891642.0,No,
LMT,Lockheed Martin,Industrials,Aerospace & Defense,Large,NYQ,0.197,1852764.0,Yes,
L,Loews Corporation,Financials,Multi-line Insurance,Large,NYQ,0.588,709230.0,Yes,
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,Large,NYQ,0.935,2758191.0,Yes,
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Large,NMS,1.013,2726784.0,No,
LYB,LyondellBasell,Materials,Specialty Chemicals,Large,NYQ,0.674,7727538.0,Yes,
MTB,M&T Bank,Financials,Regional Banks,Large,NYQ,0.588,1241401.0,Yes,
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,Large,NYQ,0.708,2524489.0,Yes,
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Large,NMS,1.101,1605896.0,Yes,
MRSH,Marsh McLennan,Financials,Insurance Brokers,Large,NYQ,0.731,2947776.0,Yes,
MLM,Martin Marietta Materials,Materials,Construction Materials,Large,NYQ,1.149,521140.0,Yes,
MAS,Masco,Industrials,Building Products,Large,NYQ,1.246,2582125.0,Yes,
MA,Mastercard,Financials,Transaction & Payment Processing Services,Large,NYQ,0.836,3793413.0,Yes,
MTCH,Match Group,Communication Services,Interactive Media & Services,Large,NMS,1.341,5410488.0,Yes,
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,Large,NYQ,0.574,3767488.0,Yes,
MCD,McDonald's,Consumer Discretionary,Restaurants,Large,NYQ,0.496,3222067.0,Yes,
MCK,McKesson Corporation,Health Care,Health Care Distributors,Large,NYQ,0.354,720872.0,Yes,
MDT,Medtronic,Health Care,Health Care Equipment,Large,NYQ,0.729,8123874.0,Yes,
MRK,Merck & Co.,Health Care,Pharmaceuticals,Large,NYQ,0.264,12002774.0,Yes,
META,Meta Platforms,Communication Services,Interactive Media & Services,Large,NMS,1.279,14442864.0,Yes,
MET,MetLife,Financials,Life & Health Insurance,Large,NYQ,0.745,3891849.0,Yes,
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,Large,NYQ,1.438,149620.0,No,
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,Large,NYQ,1.396,4897876.0,No,
MCHP,Microchip Technology,Information Technology,Semiconductors,Large,NMS,1.447,9019716.0,Yes,
MU,Micron Technology,Information Technology,Semiconductors,Large,NMS,1.542,36363191.0,Yes,
MSFT,Microsoft,Information Technology,Systems Software,Large,NMS,1.108,34174708.0,Yes,
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,Large,NYQ,0.768,966613.0,Yes,
MRNA,Moderna,Health Care,Biotechnology,Large,NMS,1.352,11386494.0,No,
MOH,Molina Healthcare,Health Care,Managed Health Care,Large,NYQ,0.5,1911274.0,No,
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,Large,NYQ,0.449,3059677.0,Yes,
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,Large,NMS,0.366,10901788.0,Yes,
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,Large,NMS,1.49,586596.0,Yes,
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Large,NMS,0.437,6084015.0,No,
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,Large,NYQ,1.442,1316925.0,Yes,
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,Large,NYQ,1.207,7224172.0,Yes,
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,Large,NYQ,0.946,8342910.0,Yes,
MSI,Motorola Solutions,Information Technology,Communications Equipment,Large,NYQ,0.96,1155491.0,Yes,
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,Large,NYQ,1.301,624964.0,Yes,
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,Large,NMS,1.035,4465074.0,Yes,
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",Large,NMS,1.349,2399266.0,Yes,
NFLX,Netflix,Communication Services,Movies & Entertainment,Large,NMS,1.714,48441452.0,No,
NEM,Newmont,Materials,Gold,Large,NYQ,0.389,10222771.0,Yes,
NWSA,News Corp (Class A),Communication Services,Publishing,Large,NMS,0.969,3827184.0,Yes,
NWS,News Corp (Class B),Communication Services,Publishing,Large,NMS,0.969,1316084.0,Yes,
NEE,NextEra Energy,Utilities,Multi-Utilities,Large,NYQ,0.749,9584944.0,Yes,
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Large,NYQ,1.286,16626450.0,Yes,
NI,NiSource,Utilities,Multi-Utilities,Large,NYQ,0.616,3966516.0,Yes,
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,Large,NMS,0.99,407737.0,Yes,
NSC,Norfolk Southern,Industrials,Rail Transportation,Large,NYQ,1.303,1207779.0,Yes,
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,Large,NMS,1.266,1078577.0,Yes,
NOC,Northrop Grumman,Industrials,Aerospace & Defense,Large,NYQ,0.007,956152.0,Yes,
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Large,NYQ,2.044,21033344.0,No,
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,Large,NYQ,1.265,2490537.0,Yes,
NUE,Nucor,Materials,Steel,Large,NYQ,1.768,1692471.0,Yes,
NVDA,Nvidia,Information Technology,Semiconductors,Large,NMS,2.375,174903088.0,Yes,
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,Large,NYQ,1.036,27762.0,No,
NXPI,NXP Semiconductors,Information Technology,Semiconductors,Large,NMS,1.44,2823732.0,Yes,
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,Large,NMS,0.599,6013205.0,No,
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,Large,NYQ,0.351,14749716.0,Yes,
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,Large,NMS,1.219,2255996.0,Yes,
OMC,Omnicom Group,Communication Services,Advertising,Large,NYQ,0.71,4916971.0,Yes,
ON,ON Semiconductor,Information Technology,Semiconductors,Large,NMS,1.53,8494894.0,No,
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,Large,NYQ,0.88,4806527.0,Yes,
ORCL,Oracle Corporation,Information Technology,Application Software,Large,NYQ,1.648,26835877.0,Yes,
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,Large,NYQ,0.986,3733811.0,Yes,
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,Large,NMS,1.046,3172698.0,Yes,
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,Large,NYQ,0.896,1070954.0,Yes,
PLTR,Palantir Technologies,Information Technology,Application Software,Large,NMS,1.739,48254947.0,No,
PANW,Palo Alto Networks,Information Technology,Systems Software,Large,NMS,0.822,10144716.0,No,
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,Large,NMS,1.259,11034461.0,Yes,
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,Large,NYQ,1.218,695098.0,Yes,
PAYX,Paychex,Industrials,Human Resource & Employment Services,Large,NMS,0.889,3768747.0,Yes,
PAYC,Paycom,Industrials,Human Resource & Employment Services,Large,NYQ,0.812,1872476.0,Yes,
PYPL,PayPal,Financials,Transaction & Payment Processing Services,Large,NMS,1.459,23797655.0,Yes,
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,Large,NYQ,1.212,1740355.0,Yes,
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Large,NMS,0.375,7940544.0,Yes,
PFE,Pfizer,Health Care,Pharmaceuticals,Large,NYQ,0.412,45343106.0,Yes,
PCG,PG&E Corporation,Utilities,Multi-Utilities,Large,NYQ,0.308,21600918.0,Yes,
PM,Philip Morris International,Consumer Staples,Tobacco,Large,NYQ,0.395,5308971.0,Yes,
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,Large,NYQ,0.871,2875077.0,Yes,
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,Large,NYQ,0.492,1310167.0,Yes,
PNC,PNC Financial Services,Financials,Diversified Banks,Large,NYQ,0.974,2738244.0,Yes,
POOL,Pool Corporation,Consumer Discretionary,Distributors,Large,NMS,1.247,829077.0,Yes,
PPG,PPG Industries,Materials,Specialty Chemicals,Large,NYQ,1.123,2203916.0,Yes,
PPL,PPL Corporation,Utilities,Electric Utilities,Large,NYQ,0.689,8799274.0,Yes,
PFG,Principal Financial Group,Financials,Life & Health Insurance,Large,NMS,0.876,1698603.0,Yes,
PG,Procter & Gamble,Consumer Staples,Personal Care Products,Large,NYQ,0.34,11460657.0,Yes,
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,Large,NYQ,0.29,3434550.0,Yes,
PLD,Prologis,Real Estate,Industrial REITs,Large,NYQ,1.416,3382335.0,Yes,
PRU,Prudential Financial,Financials,Life & Health Insurance,Large,NYQ,0.966,2274869.0,Yes,
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,Large,NYQ,0.582,2891708.0,Yes,
PTC,PTC Inc.,Information Technology,Application Software,Large,NMS,1.042,1078596.0,No,
PSA,Public Storage,Real Estate,Self-Storage REITs,Large,NYQ,0.965,1230176.0,Yes,
PHM,PulteGroup,Consumer Discretionary,Homebuilding,Large,NYQ,1.298,1831232.0,Yes,
PWR,Quanta Services,Industrials,Construction & Engineering,Large,NYQ,1.109,1066886.0,Yes,
QCOM,Qualcomm,Information Technology,Semiconductors,Large,NMS,1.267,10919898.0,Yes,
DGX,Quest Diagnostics,Health Care,Health Care Services,Large,NYQ,0.63,974149.0,Yes,
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,Large,NYQ,,2451157.0,Yes,
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Large,NYQ,1.488,612606.0,Yes,
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,Large,NYQ,1.007,1368467.0,Yes,
RTX,RTX Corporation,Industrials,Aerospace & Defense,Large,NYQ,0.406,6124408.0,Yes,
O,Realty Income,Real Estate,Retail REITs,Large,NYQ,0.774,6563257.0,Yes,
REG,Regency Centers,Real Estate,Retail REITs,Large,NMS,0.926,1321306.0,Yes,
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,Large,NMS,0.397,746554.0,Yes,
RF,Regions Financial Corporation,Financials,Regional Banks,Large,NYQ,1.041,14528074.0,Yes,
RSG,Republic Services,Industrials,Environmental & Facilities Services,Large,NYQ,0.521,1371927.0,Yes,
RMD,ResMed,Health Care,Health Care Equipment,Large,NYQ,0.887,1045940.0,Yes,
RVTY,Revvity,Health Care,Health Care Equipment,Large,NYQ,1.107,1329154.0,Yes,
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,Large,NMS,2.479,28315615.0,No,
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,Large,NYQ,1.522,987220.0,Yes,
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,Large,NYQ,0.796,3012127.0,Yes,
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,Large,NMS,0.927,1627606.0,Yes,
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,Large,NMS,0.98,2494445.0,Yes,
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Large,NYQ,1.926,2440298.0,Yes,
SPGI,S&P Global,Financials,Financial Exchanges & Data,Large,NYQ,1.221,2526379.0,Yes,
CRM,Salesforce,Information Technology,Application Software,Large,NYQ,1.307,12021908.0,Yes,
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",Large,NMS,,18412501.0,No,
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,Large,NMS,0.833,888188.0,Yes,
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,Large,NYQ,0.709,19940827.0,Yes,
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",Large,NMS,1.648,4044898.0,Yes,
SRE,Sempra,Utilities,Multi-Utilities,Large,NYQ,0.7,3818010.0,Yes,
NOW,ServiceNow,Information Technology,Systems Software,Large,NYQ,1.019,18127588.0,No,
SHW,Sherwin-Williams,Materials,Specialty Chemicals,Large,NYQ,1.244,1749725.0,Yes,
SPG,Simon Property Group,Real Estate,Retail REITs,Large,NYQ,1.397,1588125.0,Yes,
SWKS,Skyworks Solutions,Information Technology,Semiconductors,Large,NMS,1.297,3718925.0,Yes,
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,Large,NYQ,0.176,2035030.0,Yes,
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,Large,NYQ,1.004,6105276.0,Yes,
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,Large,NYQ,0.749,362040.0,Yes,
SOLV,Solventum,Health Care,Health Care Technology,Large,NYQ,,1124884.0,No,
SO,Southern Company,Utilities,Electric Utilities,Large,NYQ,0.41,5980652.0,Yes,
LUV,Southwest Airlines,Industrials,Passenger Airlines,Large,NYQ,1.094,10107252.0,Yes,
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,Large,NYQ,1.149,1823530.0,Yes,
SBUX,Starbucks,Consumer Discretionary,Restaurants,Large,NMS,0.928,9165883.0,Yes,
STT,State Street Corporation,Financials,Asset Management & Custody Banks,Large,NYQ,1.416,2155630.0,Yes,
STLD,Steel Dynamics,Materials,Steel,Large,NMS,1.395,1280040.0,Yes,
STE,Steris,Health Care,Health Care Equipment,Large,NYQ,1.036,799920.0,Yes,
SYK,Stryker Corporation,Health Care,Health Care Equipment,Large,NYQ,0.869,2012493.0,Yes,
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",Large,NMS,1.487,33340433.0,No,
SYF,Synchrony Financial,Financials,Consumer Finance,Large,NYQ,1.412,4612498.0,Yes,
SNPS,Synopsys,Information Technology,Application Software,Large,NMS,1.156,2140528.0,No,
SYY,Sysco,Consumer Staples,Food Distributors,Large,NYQ,0.595,3704059.0,Yes,
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,Large,NMS,0.412,6004877.0,Yes,
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,Large,NMS,1.553,2203140.0,Yes,
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,Large,NMS,0.958,2195735.0,No,
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Large,NYQ,1.597,2310222.0,Yes,
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,Large,NYQ,0.853,1408637.0,Yes,
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,Large,NYQ,1.105,6629422.0,Yes,
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,Large,NYQ,1.245,2150330.0,Yes,
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,Large,NYQ,0.975,362313.0,No,
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,Large,NMS,1.801,3340469.0,Yes,
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,Large,NMS,1.926,60756706.0,No,
TXN,Texas Instruments,Information Technology,Semiconductors,Large,NMS,0.979,7599659.0,Yes,
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,Large,NYQ,0.731,505152.0,Yes,
TXT,Textron,Industrials,Aerospace & Defense,Large,NYQ,0.935,1812884.0,Yes,
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,Large,NYQ,0.971,2334935.0,Yes,
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,Large,NYQ,0.736,5142784.0,Yes,
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,Large,NYQ,0.167,1000835.0,Yes,
TTD,Trade Desk (The),Communication Services,Advertising,Large,NGM,1.19,17159047.0,No,
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,Large,NMS,0.698,6864510.0,Yes,
TT,Trane Technologies,Industrials,Building Products,Large,NYQ,1.188,1577862.0,Yes,
TDG,TransDigm Group,Industrials,Aerospace & Defense,Large,NYQ,0.918,370520.0,No,
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,Large,NYQ,0.502,1617854.0,Yes,
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,Large,NMS,1.574,2026523.0,No,
TFC,Truist Financial,Financials,Diversified Banks,Large,NYQ,0.861,9621622.0,Yes,
TYL,Tyler Technologies,Information Technology,Application Software,Large,NYQ,0.934,647788.0,No,
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,Large,NYQ,0.441,3023022.0,Yes,
USB,U.S. Bancorp,Financials,Diversified Banks,Large,NYQ,1.041,10865142.0,Yes,
UBER,Uber,Industrials,Passenger Ground Transportation,Large,NYQ,1.215,20279740.0,No,
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,Large,NYQ,0.691,4194966.0,Yes,
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,Large,NMS,0.847,634877.0,No,
UNP,Union Pacific Corporation,Industrials,Rail Transportation,Large,NYQ,0.952,3346825.0,Yes,
UAL,United Airlines Holdings,Industrials,Passenger Airlines,Large,NMS,1.247,6347206.0,No,
UPS,United Parcel Service,Industrials,Air Freight & Logistics,Large,NYQ,1.054,6517813.0,Yes,
URI,United Rentals,Industrials,Trading Companies & Distributors,Large,NYQ,1.654,673318.0,Yes,
UNH,UnitedHealth Group,Health Care,Managed Health Care,Large,NYQ,0.38,9503616.0,Yes,
UHS,Universal Health Services,Health Care,Health Care Facilities,Large,NYQ,1.261,778977.0,Yes,
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,Large,NYQ,0.734,3781450.0,Yes,
VTR,Ventas,Real Estate,Health Care REITs,Large,NYQ,0.76,2922215.0,Yes,
VLTO,Veralto,Industrials,Environmental & Facilities Services,Large,NYQ,1.106,1881018.0,Yes,
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,Large,NMS,0.765,743376.0,Yes,
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,Large,NMS,0.797,1937049.0,Yes,
VZ,Verizon,Communication Services,Integrated Telecommunication Services,Large,NYQ,0.281,31597718.0,Yes,
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,Large,NMS,0.315,1440454.0,No,
VTRS,Viatris,Health Care,Pharmaceuticals,Large,NMS,0.796,10309622.0,Yes,
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,Large,NYQ,0.699,10096289.0,Yes,
V,Visa Inc.,Financials,Transaction & Payment Processing Services,Large,NYQ,0.791,7744538.0,Yes,
VST,Vistra Corp.,Utilities,Electric Utilities,Large,NYQ,1.45,5417540.0,Yes,
VMC,Vulcan Materials Company,Materials,Construction Materials,Large,NYQ,1.059,1185059.0,Yes,
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,Large,NYQ,0.336,2350957.0,Yes,
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,Large,NYQ,1.092,275230.0,Yes,
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,Large,NYQ,0.979,809666.0,Yes,
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,Large,NMS,0.657,31058015.0,Yes,
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,Large,NYQ,1.443,11621033.0,Yes,
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,Large,NMS,1.675,25569144.0,No,
WM,Waste Management,Industrials,Environmental & Facilities Services,Large,NYQ,0.533,2215164.0,Yes,
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,Large,NYQ,1.203,1049677.0,No,
WEC,WEC Energy Group,Utilities,Electric Utilities,Large,NYQ,0.534,2223362.0,Yes,
WFC,Wells Fargo,Financials,Diversified Banks,Large,NYQ,1.071,16854761.0,Yes,
WELL,Welltower,Real Estate,Health Care REITs,Large,NYQ,0.813,3154779.0,Yes,
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,Large,NYQ,1.179,955623.0,Yes,
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",Large,NMS,1.853,9656103.0,Yes,
WY,Weyerhaeuser,Real Estate,Timber REITs,Large,NYQ,1.032,6823667.0,Yes,
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,Large,NYQ,1.558,1132847.0,Yes,
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,Large,NYQ,0.649,7203752.0,Yes,
WTW,Willis Towers Watson,Financials,Insurance Brokers,Large,NMS,0.622,773188.0,Yes,
WDAY,"Workday, Inc.",Information Technology,Application Software,Large,NMS,1.167,4929469.0,No,
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,Large,NMS,1.034,1655030.0,Yes,
XEL,Xcel Energy,Utilities,Multi-Utilities,Large,NMS,0.426,4921766.0,Yes,
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,Large,NYQ,1.169,1744352.0,Yes,
YUM,Yum! Brands,Consumer Discretionary,Restaurants,Large,NYQ,0.639,1956747.0,Yes,
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,Large,NMS,1.679,776403.0,No,
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,Large,NYQ,0.591,2168428.0,Yes,
ZTS,Zoetis,Health Care,Pharmaceuticals,Large,NYQ,0.954,4505715.0,Yes,
AA,Alcoa,Materials,Aluminum,Mid,NYQ,1.779,7590628.0,Yes,
AAL,American Airlines Group,Industrials,Passenger Airlines,Mid,NMS,1.194,65269555.0,No,
AAON,AAON,Industrials,Building Products,Mid,NMS,1.13,957471.0,Yes,
ACI,Albertsons,Consumer Staples,Food Retail,Mid,NYQ,0.254,7531827.0,Yes,
ACM,AECOM,Industrials,Construction & Engineering,Mid,NYQ,1.044,1486238.0,Yes,
ADC,Agree Realty,Real Estate,Retail REITs,Mid,NYQ,0.51,1324100.0,Yes,
AEIS,Advanced Energy,Information Technology,Semiconductor Materials & Equipment,Mid,NMS,1.36,716323.0,Yes,
AFG,American Financial Group,Financials,Multi-line Insurance,Mid,NYQ,0.67,654652.0,Yes,
AGCO,AGCO,Industrials,Agricultural & Farm Machinery,Mid,NYQ,1.111,795966.0,Yes,
AHR,American Healthcare REIT,Real Estate,Health Care REITs,Mid,NYQ,0.935,2823461.0,Yes,
AIT,Applied Industrial Technologies,Industrials,Trading Companies & Distributors,Mid,NYQ,0.802,335476.0,Yes,
ALGM,Allegro MicroSystems,Information Technology,Semiconductors,Mid,NMS,1.67,2497169.0,No,
ALK,Alaska Air Group,Industrials,Passenger Airlines,Mid,NYQ,1.16,3872383.0,No,
ALLY,Ally Financial,Financials,Consumer Finance,Mid,NYQ,1.155,3771542.0,Yes,
ALV,Autoliv,Consumer Discretionary,Automotive Parts & Equipment,Mid,NYQ,1.336,751581.0,Yes,
AM,Antero Midstream,Energy,Oil & Gas Storage & Transportation,Mid,NYQ,0.747,2840413.0,Yes,
AMG,Affiliated Managers Group,Financials,Asset Management & Custody Banks,Mid,NYQ,1.177,420625.0,Yes,
AMH,American Homes 4 Rent,Real Estate,Single-Family Residential REITs,Mid,NYQ,0.794,4453427.0,Yes,
AMKR,Amkor Technology,Information Technology,Semiconductors,Mid,NMS,1.973,4404520.0,Yes,
AN,AutoNation,Consumer Discretionary,Automotive Retail,Mid,NYQ,0.83,434037.0,No,
ANF,Abercrombie & Fitch,Consumer Discretionary,Apparel Retail,Mid,NYQ,1.112,1643749.0,No,
APG,APi Group,Industrials,Construction & Engineering,Mid,NYQ,1.682,2567886.0,No,
APPF,AppFolio,Information Technology,Application Software,Mid,NGM,0.801,395438.0,No,
AR,Antero Resources,Energy,Oil & Gas Exploration & Production,Mid,NYQ,0.5,6095300.0,No,
ARMK,Aramark,Consumer Discretionary,Distributors,Mid,NYQ,1.154,2981996.0,Yes,
ARW,Arrow Electronics,Information Technology,Technology Distributors,Mid,NYQ,0.995,604022.0,No,
ARWR,Arrowhead Pharmaceuticals,Health Care,Biotechnology,Mid,NMS,1.3,2916349.0,No,
ASB,Associated Bank,Financials,Regional Banks,Mid,NYQ,0.791,2392737.0,Yes,
ASGN,ASGN Inc.,Information Technology,IT Consulting & Other Services,Mid,NYQ,0.876,761142.0,No,
ASH,Ashland Global,Materials,Diversified Chemicals,Mid,NYQ,0.4,665772.0,Yes,
ATI,ATI Inc.,Industrials,Aerospace & Defense,Mid,NYQ,0.952,1937328.0,No,
ATR,AptarGroup,Materials,"Metal, Glass & Plastic Containers",Mid,NYQ,0.437,521179.0,Yes,
AVAV,AeroVironment,Industrials,Aerospace & Defense,Mid,NMS,1.259,1854952.0,No,
AVNT,Avient,Materials,Specialty Chemicals,Mid,NYQ,1.397,851022.0,Yes,
AVT,Avnet,Information Technology,Technology Distributors,Mid,NMS,0.911,1121038.0,Yes,
AVTR,Avantor,Health Care,Life Sciences Tools & Services,Mid,NYQ,0.966,11710055.0,No,
AXTA,Axalta,Materials,Specialty Chemicals,Mid,NYQ,1.279,3248523.0,No,
AYI,Acuity Brands,Industrials,Electrical Components & Equipment,Mid,NYQ,1.428,442657.0,Yes,
BAH,Booz Allen Hamilton,Industrials,Research & Consulting Services,Mid,NYQ,0.359,2496655.0,Yes,
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,Mid,NYQ,1.418,5263967.0,Yes,
BC,Brunswick,Consumer Discretionary,Leisure Products,Mid,NYQ,1.376,1000386.0,Yes,
BCO,Brink's,Industrials,Security & Alarm Services,Mid,NYQ,1.091,405103.0,Yes,
BDC,Belden Inc.,Information Technology,Electronic Components,Mid,NYQ,1.192,322303.0,Yes,
BHF,Brighthouse Financial,Financials,Life & Health Insurance,Mid,NMS,0.949,780550.0,No,
BILL,Bill Holdings,Information Technology,Application Software,Mid,NYQ,1.297,2789625.0,No,
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,Mid,NYQ,1.201,263425.0,No,
